old_scheme_id,old_name,new_name
23192,DIDRAKUSH PT I PWSS,DIDARKUSH PT-1(MANIPURI BASTI) PWSS
23204,SOUTH JAMALPUR PWSS,SOUTH JAMALPUR NEW PWSS
23257,TOKOLATUP PWSS,2 NO MAGURGAON PWSS
23265,UTTAR AMERI NO 2 PWSS,Dakhin Jar Bagan Virot Colony PWSS
23654,SOLOGURI BANGALI NO.1 PWSS,Natun Majhi PWSS
23670,BALIJAN NO.2 PART-1 PWSS,BALIJAN MILONJYOTI PWSS
23765,NAHARANI BLOCK NEW PWSS,NAHARANI BLOCK NO 2 PWSS
23771,GANDHIA IKARANI PWSS,GHUGULANI PWSS
23772,GHOGULANI PWSS,Gandhia Ikarani PWSS
23801,GOHAIN BARI MPWSS,GOHAIN BARI MPWSS
23821,KONWAR CHUK PWSS,KONWAR CHUK 1
23875,Mazrowmari Bangalligaon PWSS,Mazrowmari Bangali (Part-A) PWSS
23881,No.1 Belsiri Bagan PWSS,Dhekipelowa Bangali PWSS
23932,Bongtok Terang PWSS,Bongtok Terang PWSS
23969,NORTH SINGIMARI PWSS,North Singimari Shyamthaibari PWSS
23971,New Dakhin Moirabari PWSS,PACHIM MOIRABARI PWSS
24008,PANBARI GAON PWSS,Baligaon Part PWSS
24012,Latiamari PWSS,Niz Bihaguri No.3 PWSS
24014,Dui Depota maz Pathar PWSS,Niz Bihaguri No.2 PWSS
24019,Hatibarijan PWSS,Puroni jamuguri Part-A PWSS
24021,Majuli Char PWSS,Natun jamuguri Part-A PWSS
24035,MAJULIPARA PWSS,Majulipara Gwthaibari PWSS
24045,DAKHIN HATIMURIA PWSS,UTTAR HATIMURIA PWSS
24063,Bor Timung PWSS,Mouldam PWSS
24079,KONTHELAL GAON PWSS,Nasugrundisa PWSS
24084,Mohon Rongpi PWSS,Hemari PWSS
24110,Lahorijan Beat Eastern Range (rongapahar)PWSS,Mon Basti PWSS
24118,KANIA ENGLENG PWSS,Sunali pwss
24132,SUNAIBERAGAON PWSS,SONAIBERA KERIMERI PWSS
24367,GHORAMARI PWSS,Batabari-Ghoramari PWSS
24383,Phangjang PWSS,Saijang PWSS
24406,DAUKHIJHAR BARMANPARA B PWSS,DAUKHIJHAR BARMANPARA B PWSS
24408,DAUKHIJHAR BARMANPARA A PWSS,DAUKHIJHAR BARMANPARA A PWSS
24421,PACHIM PAKRIRTOL PWSS,Pakrirtol PWSS
24445,Kukital Bagan PWSS,Boroputni PWSS
24449,Manipur Nepali Basti PWSS,Hemai Rongpi PWSS
24453,Lahorijan Basti Aug PWSS,Ikorani PWSS
24457,Dilawjan alaongbui PWSS,Den Timung PWSS
24582,Singimari (Bamunitila) PWSS,Singimari (Bamunitila) PWSS
24601,BHAJAKHATI GAON PWSS,UTTAR BORCHAPORI PWSS
24630,CHAPRAKATA PT.I A MPWSS,CHAPRAKATA PT.I A PWSS
24633,Sainilangs o PWSS,Kehai Bey PWSS
24636,CHAPRAKATA RABHAPARA A PWSS,CHAPRAKATA RABHAPARA A PWSS
24638,CHAPRAKATA RABHAPARA B PWSS,CHAPRAKATA RABHAPARA B PWSS
24644,Moza Phangso PWSS,Rongchave PWSS
24645,Serat Bey PWSS,Cherat Bey PWSS
24674,JHARPARA PT I A PWSS,JHARPARA PT I A PWSS
24675,JHARPARA PT I B PWSS,JHARPARA PT I B PWSS
24676,JHARPARA PT II A PWSS,JHARPARA PT II A PWSS
24677,JHARPARA PT II B PWSS,JHARPARA PT II B PWSS
24721,CHANDRAPUR 2 PWSS,Bandukmara Grant(Benguar Thimuka) PWSS
24759,DIM TIMUNG PWSS,Saphapani zone 1 PWSS
24801,MOUZADARPARA PWSS,MOIRABARI HAZI PARA PWSS
24802,TILAPARA B PWSS,TILAPARA B PWSS
24813,PACHIM SOGUNBAHI PWSS,PUB HATIMURIA PWSS
24835,Upper Balijan PWSS,Biddingson Marak PWSS
24851,Hidipi Zone 1 PWSS,Langsangti PWSS
24856,Balijan Zone 1 PWSS,Tal Balijan Zone-1 PWSS
24938,BAHIR (BHITOR) JANMI CHUK PWSS,Bhitar Janmi Chuk
24997,Gendacherra - Chuto Jamira - Karnabasti - Haticherra PWSS,Chalkwari PWSS
25016,Bashdahar - Bor Hailakandi PWSS,Thingomkhul PWSS
25048,dakhin dangarkuthi pwss,Dakhin-Pachim Dangarkuti PWSS
25066,EAST KHAGRABARI PWSS,Khagrabari PWSS
25256,bhutiapara-I PWSS,Bhutiapara PWSS
25266,AUNAJULI MALSINGPARA PWSS,Aunajuli PWSS
25270,JOYNARY EAST PWSS,Kakormari Joynary East PWSS
25350,Umanagar PWSS,Umanagar East Charagaon PWSS
25351,Sikargaon PWSS,Maoriagaon-Sikargaon PWSS
25599,UPPER DILLAJI (TERON GAON)PWSS,Shanti Bosti pwss
25600,RAM SING TERON PWSS,Upper Ekarani PWSS
25642,Tokobari PWSS,Sam Gaon PWSS
25680,Binhum Killing PWSS,Bakring Engti PWSS
25689,Tengahola PWSS,Yadov Rai Grant 1-2 PWSS
25694,Dok Tokbi PWSS,Kania Hanse PWSS
25696,Hanse Gaon PWSS,Amreng Ingti PWSS
25697,Central Range Manja PWSS,Rongjangphong PWSS
25699,Amreng Ingti PWSS,United Adivasi PWSS
25700,Rintithe PWSS ,Rintithe PWSS
25702,MAZI GAON PWSS,Jula Gaon PWSS
25738,NEW AMGURI PWSS,Sonapur PWSS
25747,NOWAPARA NO.1 B PWSS,NOWAPARA NO.1 B PWSS
25748,NOWAPARA NO.1 A PWSS,NOWAPARA NO.1 A PWSS
25749,JARAGURI NO.1 A PWSS,JARAGURI NO.1 A PWSS
