name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
BALIJURI BAGAN T.E PWSS,1733400,1560000,173300,192,18336,29647,30028327
BALIJURI PWSS (REVISED),2730000,2334100,259300,100,3820,28309,8185824
Balikatia PWSS,3200000,2736000,304000,482,5680,30931,
BALILECHA PWSS,6819000,5830200,647800,409,788,30886,8164756
BALIPIPLA PWSS,362900,326600,36300,841,107,31214,8199881
Balirbond W.S.S.,6118000,5506000,612000,389,2957,30733,8236497
Balisatra PWSS,2800000,2394000,266000,450,5672,28891,6529257
BALISURI F V PWSS (revised),815000,734000,82000,204,5612,30278,6563998
BALISUTI BANGALI PWSS,3220000,2753000,306000,0,10833,29294,
BALIUNA WSS,4021000,3619000,402000,183,6545,30963,8199140
BALLAMGURI PWSS,837000,716000,80000,441,1442,31874,
BALLIMARI PWSS,792000,677000,75000,133,7672,30843,8236258
Baman Pathar PWSS,2047700,1842500,204700,232,73,30520,8160374
BAMGAON PWSS,683000,615000,68000,210,1127,32816,
BAMPATHAR PWSS,1100000,940500,104500,0,4914,32499,
Bamun Gaon,4610000,3942000,437000,150,1783,30462,8184592
BAMUN GAON PWSS,3159700,2843700,316000,120,517,30698,8155395
BAMUNBORI PWSS,3709800,3338800,371000,220,2172,31183,8194788
BAMUNDI PWSS (Revised),118800,106900,11900,485,1707,28615,
BAMUNGAON PWSS,3796200,3416600,379600,56,4826,28995,
BAMUNIGAON PWSS,282000,241000,27000,300,7112,30976,8224449
BAMUNIPANI KHOWA PWSS,3994000,3415000,379000,281,240,31649,8171970
BAMUNITILLA PWSS,4392000,3755200,417200,220,1713,29743,
bamunpara,2317000,2085000,232000,112,313,28952,8183787
BAMUNPARA PWSS,3703000,3333000,370000,111,2882,31237,4888114
Bamunpara PWSS (revised),1862000,1675800,186200,531,6116,31086,
BANBARIA PWSS,1418400,1276600,141800,196,5412,32846,
BANDABILL PWSS,4044000,3640000,404000,290,5689,30018,8222745
BANDARKHATI PWSS,6238500,5614600,623800,314,1934,32069,
Bandarshree New PWSS,3680000,3146000,350000,142,3487,31684,8206510
BANDARSHREEPT-III PWSS,3650000,3121000,347000,126,330,31638,8196914
BANDHAPARA VILLAGE PWSS (revised),1425000,1282500,142500,250,1766,29931,
BANEKUCHI PWSS,6343200,6194400,688000,383,3726,32533,
BANGALIJHORA PWSS,3900700,3510600,390100,54,4845,29920,8203455
BANGALJAR PWSS,3003000,2703000,300000,221,2969,29399,6259713
BANGALPARA PWSS (Revised),1767000,1590300,176700,239,4397,28646,
Bangaltola No. 1 PWSS (revised),494000,444600,49400,107,4408,31691,
BANGALTOLA PWSS (Revised),1971300,1774100,197100,286,1770,28666,8161178
BANGAON PWSS,4307000,3682000,410000,219,661,29402,8160467
Banglatilla W.S.Scheme,4404000,3765000,418000,252,713,33006,
BANGLI PARA  PWSS,1354700,1219200,135500,202,5445,33062,
Banglow Tilla W.S.Scheme,4560000,3898800,433200,300,1218,31926,
BANGSHIPARA PWSS,701000,599000,67000,200,6739,33035,
BANGTI PWSS,2955500,2660000,295000,80,5448,31689,
BANGTIJHORA PWSS,2020000,1727000,192000,225,1745,32943,
BANIAMARI PWSS,360000,308000,34000,136,9037,33001,
BANIAPARA NO. 1 PWSS,3622000,3097000,344000,125,331,31271,8237313
Baniapara PWSS,6974000,5963000,662000,320,3377,31643,8206091
Bankakata pwss (revised),1330000,1197000,133000,237,4373,31526,
Banskandi P.W.S.Scheme,5700000,4873500,541500,598,879,31612,
BAPURBHITA PWSS,3772000,3395000,377000,68,333,29691,8196954
Bar Nagaon PWSS,100000,85500,9500,0,1522,31774,8158019
Bar Thekerabari PWSS,120000,102600,11400,10,4165,32269,
BARAGRA PWSS,2041000,1745100,193900,297,8564,30877,8338644
Barakpar PWSS,4300000,3677000,409000,709,7189,31834,
Baralimari PWSS,5941000,5079600,564400,539,2724,21275,8219562
BARAMARA PWSS,4460600,4014600,446100,217,2217,30836,8197297
BARAMCHARI  KHATPARA PWSS,2850000,2565000,285000,72,5447,32022,
BARANGABARI PWSS,4370000,3933000,437000,100,6976,32383,
BARAPUJIA PWSS,2595000,2336000,260000,90,2000,32852,
Barbaruah Maidam WSS,6632000,5670000,630000,105,5568,31460,
BARBATABARI RAYPUR PWSS,2564000,2307600,256400,195,5441,31370,
BARCHALLA PWSS,9893300,8904000,989300,95,2164,29864,8220972
BARDADHI NO.2 PWSS (revised),3895000,3506000,390000,290,1772,29885,8161191
BARDADHI PWSS (Revised),1876300,1688600,187600,115,1777,28806,
Bardamal PWSS,3027000,2724000,303000,180,3448,31049,8237606
BARDANGI F.V. PWSS,1873900,1686400,187400,60,8739,26923,
BARDUAR BAGAN PWSS (Revised),3354000,3018000,335000,201,4120,32566,8221220
Barduar Tea Garden No. 2 (Revised),1750900,1575000,175100,524,4224,28498,8225712
BAREGAON PWSS (Revised),1330000,1197000,133000,68,4110,28807,
Barenti Rangapani PWSS (REVISED),2660000,2394000,266000,203,6119,32490,
BARGACHA PWSS,1585000,1355200,150600,40,3727,31791,8268611
BARGHOPA PWSS,5596000,4784600,531600,234,3692,32154,8203202
BARHAMPUR PWSS,4820800,4338700,482100,350,2117,30946,8197476
BARHOITING PWSS,1654300,1489000,165000,202,5177,32170,
Barichowa PWS,9027900,8125100,902800,127,4802,29545,8239383
Bariknagar Pt.II (Swajaldhara) W.S.Scheme,1600000,1368000,152000,270,536,32059,
BARINDRA BAZAR PWSS,6178800,5560900,617900,532,109,31222,8151450
BARJAR PWSS,600000,513000,57000,412,795,30876,30218370
BARJHAR PWSS (revised),2470000,2223000,247000,105,2390,30013,8164036
BARKHOLA PWSS,3905000,3338800,371000,399,3691,30909,8203280
BARKULHATI PWSS,1807000,1545000,171700,250,3695,31357,8203319
BARKURIHA PWSS,2756000,2480400,275600,624,4009,30728,5655627
BARMOHARA PWSS,3486000,3137000,349000,172,243,29456,8171572
Barnizara PWSS (revised),570000,513000,57000,320,5478,31950,
BAROBHUYAN PWSS (Revised),2625300,2244600,249400,24,137,31024,8155055
BAROGHORIA,3674600,3307100,367500,291,183,28467,8171273
BAROVITA PWSS,503000,430000,48000,163,9043,31592,
BARPARA PWSS,3288000,2811200,312400,76,820,32665,
BARPATHAR PWSS,3512000,3003000,334000,278,662,29403,
Barpatharua PWSS,4692000,4222000,469000,179,6623,31054,8236619
BARSIMALIA PWSS,3987000,3588300,398700,311,3696,31224,8242635
BARUABAMUN GAON PWSS,6464800,5818300,646500,117,596,32886,
BARUAH CHUCK Solar Powered Mini PWSS,182000,155700,17300,16,6814,33011,
BARUAH PUKHURI (ZONE-II) PWSS,3887400,3498700,388700,274,5948,31454,8218300
BARUKATA PWSS,950000,95000,50000,366,7220,32721,
Barukati PWSS,5646800,5082100,564700,445,2725,28660,8219560
BARUNITARA PT II (Batardol PWSS),2977000,2545000,283000,0,670,32448,8161071
BARUWATI PWSS,653000,588000,65000,140,1295,30613,8183760
BASHBARI PWSS,1807000,1545000,172000,326,6737,33033,
Bashkal PWSS,3404000,2910000,323000,429,4924,31967,
BASUGAON PWSS,3569200,3212200,356900,52,5300,23578,8235062
Batabari PWSS,1011000,864400,96000,0,4336,32348,
BATABARI PWSS,7746300,6971700,774600,514,904,23404,8203209
Batabari PWSS,1432000,1224400,136000,109,6083,31645,6527362
Batabari PWSS,792000,713000,79000,320,3426,31188,8222322
Batachara Badulipara PWSS,2677000,2290000,254000,156,2930,32211,
Batadraba PWSS,2200000,1881000,209000,221,1815,31516,
Batadraba Satra PWSS,2423000,2072000,230000,71,6023,29787,6529439
BATAIYA PWSS,7204000,6159000,684000,465,129,30691,8202068
Batamari Beel Par PWSS,3056000,2612900,290300,170,3079,29871,8194885
BATAMARI PWSS (Retro Revised),533200,455900,50700,0,3840,28926,8177941
BATAMARIGAON PWSS,3581300,3062000,340200,0,140,25950,8153482
Batgharia PWSS,244000,220000,24000,387,312,31688,
Bathan PWSS,883500,795100,88400,478,4443,29744,8317137
Bathrusan (Baksabari Bamunpara) PWSS,3744000,3370000,374000,191,3478,29404,8237435
BATIA MARI PWSS,1245500,1120900,124500,67,5455,32292,
BATIKURIHA PWSS,4943000,4226400,469600,34,1049,31529,8154870
BATIPORIA,3161000,2702000,300000,179,287,29493,8186761
Bazaloni TE 23 NLR PWSS,1045000,940500,104500,417,4525,32700,
BAZALTALI PWSS,2663200,2396900,266300,110,2189,32695,
